KO	Function	Pathway	Enzyme	Modules	Hyperlink
K00001	E1.1.1.1, adh; alcohol dehydrogenase	map00010(Glycolysis / Gluconeogenesis); map00071(Fatty acid degradation); map00350(Tyrosine metabolism); map00625(Chloroalkane and chloroalkene degradation); map00626(Naphthalene degradation); map00830(Retinol metabolism); map00980(Metabolism of xenobiotics by cytochrome P450); map00982(Drug metabolism - cytochrome P450); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01220(Degradation of aromatic compounds)	EC:1.1.1.1		http://rest.kegg.jp/get/K00001
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+)	map00010(Glycolysis / Gluconeogenesis); map00040(Pentose and glucuronate interconversions); map00561(Glycerolipid metabolism); map00930(Caprolactam degradation); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01220(Degradation of aromatic compounds)	EC:1.1.1.2	M00014	http://rest.kegg.jp/get/K00002
K00003	E1.1.1.3; homoserine dehydrogenase	map00260(Glycine, serine and threonine metabolism); map00270(Cysteine and methionine metabolism); map00300(Lysine biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:1.1.1.3	M00017 M00018	http://rest.kegg.jp/get/K00003
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	map00650(Butanoate metabolism)	EC:1.1.1.4 EC:1.1.1.303		http://rest.kegg.jp/get/K00004
K00005	gldA; glycerol dehydrogenase	map00561(Glycerolipid metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways)	EC:1.1.1.6		http://rest.kegg.jp/get/K00005
K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+)	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites); map04011(MAPK signaling pathway - yeast)	EC:1.1.1.8		http://rest.kegg.jp/get/K00006
K00007	dalD; D-arabinitol 4-dehydrogenase	map00040(Pentose and glucuronate interconversions); map00051(Fructose and mannose metabolism); map01100(Metabolic pathways)	EC:1.1.1.11		http://rest.kegg.jp/get/K00007
K00008	SORD, gutB; L-iditol 2-dehydrogenase	map00040(Pentose and glucuronate interconversions); map00051(Fructose and mannose metabolism); map01100(Metabolic pathways)	EC:1.1.1.14	M00014	http://rest.kegg.jp/get/K00008
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase	map00051(Fructose and mannose metabolism)	EC:1.1.1.17		http://rest.kegg.jp/get/K00009
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	map00521(Streptomycin biosynthesis); map00562(Inositol phosphate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:1.1.1.18 EC:1.1.1.369		http://rest.kegg.jp/get/K00010
K00011	AKR1B; aldehyde reductase	map00040(Pentose and glucuronate interconversions); map00051(Fructose and mannose metabolism); map00052(Galactose metabolism); map00561(Glycerolipid metabolism); map00790(Folate biosynthesis); map01100(Metabolic pathways)	EC:1.1.1.21		http://rest.kegg.jp/get/K00011
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	map00040(Pentose and glucuronate interconversions); map00053(Ascorbate and aldarate metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways)	EC:1.1.1.22	M00014 M00129 M00361 M00362	http://rest.kegg.jp/get/K00012
K00013	hisD; histidinol dehydrogenase	map00340(Histidine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01230(Biosynthesis of amino acids)	EC:1.1.1.23	M00026	http://rest.kegg.jp/get/K00013
K00014	aroE; shikimate dehydrogenase	map00400(Phenylalanine, tyrosine and tryptophan biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:1.1.1.25	M00022	http://rest.kegg.jp/get/K00014
K00015	gyaR, GOR1; glyoxylate reductase	map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.26		http://rest.kegg.jp/get/K00015
K00016	LDH, ldh; L-lactate dehydrogenase	map00010(Glycolysis / Gluconeogenesis); map00270(Cysteine and methionine metabolism); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map04922(Glucagon signaling pathway)	EC:1.1.1.27		http://rest.kegg.jp/get/K00016
K00018	hprA; glycerate dehydrogenase	map00260(Glycine, serine and threonine metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.1.1.29	M00346	http://rest.kegg.jp/get/K00018
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	map00072(Synthesis and degradation of ketone bodies); map00650(Butanoate metabolism); map01100(Metabolic pathways)	EC:1.1.1.30	M00088	http://rest.kegg.jp/get/K00019
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase	map00280(Valine, leucine and isoleucine degradation); map01100(Metabolic pathways)	EC:1.1.1.31		http://rest.kegg.jp/get/K00020
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)	map00900(Terpenoid backbone biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map04152(AMPK signaling pathway); map04976(Bile secretion)	EC:1.1.1.34	M00095	http://rest.kegg.jp/get/K00021
K00022	HADH; 3-hydroxyacyl-CoA dehydrogenase	map00062(Fatty acid elongation); map00071(Fatty acid degradation); map00280(Valine, leucine and isoleucine degradation); map00281(Geraniol degradation); map00310(Lysine degradation); map00380(Tryptophan metabolism); map00650(Butanoate metabolism); map00930(Caprolactam degradation); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01212(Fatty acid metabolism)	EC:1.1.1.35	M00032 M00085 M00087	http://rest.kegg.jp/get/K00022
K00023	phbB; acetoacetyl-CoA reductase	map00630(Glyoxylate and dicarboxylate metabolism); map00650(Butanoate metabolism); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.1.1.36	M00373	http://rest.kegg.jp/get/K00023
K00024	mdh; malate dehydrogenase	map00020(Citrate cycle (TCA cycle)); map00270(Cysteine and methionine metabolism); map00620(Pyruvate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map00710(Carbon fixation in photosynthetic organisms); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.1.1.37	M00009 M00011 M00012 M00168 M00173 M00346 M00374 M00620 M00740	http://rest.kegg.jp/get/K00024
K00025	MDH1; malate dehydrogenase	map00020(Citrate cycle (TCA cycle)); map00270(Cysteine and methionine metabolism); map00620(Pyruvate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map04964(Proximal tubule bicarbonate reclamation)	EC:1.1.1.37	M00009 M00011 M00012 M00168 M00171	http://rest.kegg.jp/get/K00025
K00026	MDH2; malate dehydrogenase	map00020(Citrate cycle (TCA cycle)); map00270(Cysteine and methionine metabolism); map00620(Pyruvate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.1.1.37	M00009 M00011 M00012 M00168 M00171	http://rest.kegg.jp/get/K00026
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	map00620(Pyruvate metabolism); map01200(Carbon metabolism); map02020(Two-component system)	EC:1.1.1.38		http://rest.kegg.jp/get/K00027
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating)	map00620(Pyruvate metabolism); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.1.1.39	M00171	http://rest.kegg.jp/get/K00028
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	map00620(Pyruvate metabolism); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.1.1.40	M00169 M00172	http://rest.kegg.jp/get/K00029
K00030	IDH3; isocitrate dehydrogenase (NAD+)	map00020(Citrate cycle (TCA cycle)); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:1.1.1.41	M00009 M00010	http://rest.kegg.jp/get/K00030
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	map00020(Citrate cycle (TCA cycle)); map00480(Glutathione metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids); map04146(Peroxisome)	EC:1.1.1.42	M00009 M00010 M00173 M00740	http://rest.kegg.jp/get/K00031
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase	map00030(Pentose phosphate pathway); map00480(Glutathione metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.43		http://rest.kegg.jp/get/K00032
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	map00030(Pentose phosphate pathway); map00480(Glutathione metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.1.1.44 EC:1.1.1.343	M00004 M00006	http://rest.kegg.jp/get/K00033
K00034	gdh; glucose 1-dehydrogenase	map00030(Pentose phosphate pathway); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.1.1.47		http://rest.kegg.jp/get/K00034
K00035	gal; D-galactose 1-dehydrogenase	map00052(Galactose metabolism); map01100(Metabolic pathways)	EC:1.1.1.48		http://rest.kegg.jp/get/K00035
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	map00030(Pentose phosphate pathway); map00480(Glutathione metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map05230(Central carbon metabolism in cancer)	EC:1.1.1.49 EC:1.1.1.363	M00004 M00006 M00008	http://rest.kegg.jp/get/K00036
K00037	AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase	map00120(Primary bile acid biosynthesis); map00140(Steroid hormone biosynthesis); map01100(Metabolic pathways)	EC:1.1.1.50 EC:1.1.1.357 EC:1.1.1.225	M00104	http://rest.kegg.jp/get/K00037
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	map00140(Steroid hormone biosynthesis); map01100(Metabolic pathways)	EC:1.1.1.53		http://rest.kegg.jp/get/K00038
K00039	rbtD; ribitol 2-dehydrogenase	map00040(Pentose and glucuronate interconversions); map01100(Metabolic pathways)	EC:1.1.1.56		http://rest.kegg.jp/get/K00039
K00040	uxuB; fructuronate reductase	map00040(Pentose and glucuronate interconversions); map01100(Metabolic pathways)	EC:1.1.1.57	M00061	http://rest.kegg.jp/get/K00040
K00041	uxaB; tagaturonate reductase	map00040(Pentose and glucuronate interconversions); map01100(Metabolic pathways)	EC:1.1.1.58	M00631	http://rest.kegg.jp/get/K00041
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase	map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways)	EC:1.1.1.60		http://rest.kegg.jp/get/K00042
K00043	gbd; 4-hydroxybutyrate dehydrogenase	map00650(Butanoate metabolism); map01100(Metabolic pathways); map01200(Carbon metabolism)	EC:1.1.1.61		http://rest.kegg.jp/get/K00043
K00044	HSD17B1; 17beta-estradiol 17-dehydrogenase	map00140(Steroid hormone biosynthesis); map01100(Metabolic pathways); map04913(Ovarian steroidogenesis)	EC:1.1.1.62		http://rest.kegg.jp/get/K00044
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase	map00051(Fructose and mannose metabolism)	EC:1.1.1.67		http://rest.kegg.jp/get/K00045
K00046	idnO; gluconate 5-dehydrogenase		EC:1.1.1.69		http://rest.kegg.jp/get/K00046
K00048	fucO; lactaldehyde reductase	map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.77		http://rest.kegg.jp/get/K00048
K00049	GRHPR; glyoxylate/hydroxypyruvate reductase	map00260(Glycine, serine and threonine metabolism); map00620(Pyruvate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.79 EC:1.1.1.81		http://rest.kegg.jp/get/K00049
K00050	ttuD; hydroxypyruvate reductase	map00260(Glycine, serine and threonine metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.81		http://rest.kegg.jp/get/K00050
K00051	E1.1.1.82; malate dehydrogenase (NADP+)	map00620(Pyruvate metabolism); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.1.1.82	M00172	http://rest.kegg.jp/get/K00051
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	map00290(Valine, leucine and isoleucine biosynthesis); map00660(C5-Branched dibasic acid metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:1.1.1.85	M00432 M00535	http://rest.kegg.jp/get/K00052
K00053	ilvC; ketol-acid reductoisomerase	map00290(Valine, leucine and isoleucine biosynthesis); map00770(Pantothenate and CoA biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:1.1.1.86	M00019 M00570	http://rest.kegg.jp/get/K00053
K00054	mvaA; hydroxymethylglutaryl-CoA reductase	map00900(Terpenoid backbone biosynthesis); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.1.1.88		http://rest.kegg.jp/get/K00054
K00055	E1.1.1.90; aryl-alcohol dehydrogenase	map00350(Tyrosine metabolism); map00360(Phenylalanine metabolism); map00622(Xylene degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.1.1.90	M00537 M00538	http://rest.kegg.jp/get/K00055
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.94		http://rest.kegg.jp/get/K00057
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	map00260(Glycine, serine and threonine metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:1.1.1.95 EC:1.1.1.399	M00020	http://rest.kegg.jp/get/K00058
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase	map00061(Fatty acid biosynthesis); map00333(Prodigiosin biosynthesis); map00780(Biotin metabolism); map01040(Biosynthesis of unsaturated fatty acids); map01100(Metabolic pathways); map01130(Biosynthesis of antibiotics); map01212(Fatty acid metabolism)	EC:1.1.1.100	M00083 M00572	http://rest.kegg.jp/get/K00059
K00060	tdh; threonine 3-dehydrogenase	map00260(Glycine, serine and threonine metabolism)	EC:1.1.1.103		http://rest.kegg.jp/get/K00060
K00061	RDH5; 11-cis-retinol dehydrogenase	map00830(Retinol metabolism)	EC:1.1.1.315		http://rest.kegg.jp/get/K00061
K00062	E1.1.1.116; D-arabinose 1-dehydrogenase		EC:1.1.1.116		http://rest.kegg.jp/get/K00062
K00063	ARA1; D-arabinose 1-dehydrogenase		EC:1.1.1.117		http://rest.kegg.jp/get/K00063
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase	map00051(Fructose and mannose metabolism); map00053(Ascorbate and aldarate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.122	M00114	http://rest.kegg.jp/get/K00064
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	map00040(Pentose and glucuronate interconversions)	EC:1.1.1.127		http://rest.kegg.jp/get/K00065
K00066	algD; GDP-mannose 6-dehydrogenase	map00051(Fructose and mannose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map02020(Two-component system)	EC:1.1.1.132		http://rest.kegg.jp/get/K00066
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	map00521(Streptomycin biosynthesis); map00523(Polyketide sugar unit biosynthesis); map01130(Biosynthesis of antibiotics)	EC:1.1.1.133	M00793	http://rest.kegg.jp/get/K00067
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase	map00051(Fructose and mannose metabolism)	EC:1.1.1.140		http://rest.kegg.jp/get/K00068
K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD)	map05202(Transcriptional misregulation in cancer)	EC:1.1.1.141		http://rest.kegg.jp/get/K00069
K00070	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase	map00140(Steroid hormone biosynthesis); map01100(Metabolic pathways); map04913(Ovarian steroidogenesis); map04925(Aldosterone synthesis and secretion); map04927(Cortisol synthesis and secretion); map04934(Cushing's syndrome)	EC:1.1.1.145 EC:5.3.3.1	M00107 M00110	http://rest.kegg.jp/get/K00070
K00071	HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2	map00140(Steroid hormone biosynthesis); map04960(Aldosterone-regulated sodium reabsorption)	EC:1.1.1.-	M00109	http://rest.kegg.jp/get/K00071
K00072	SPR; sepiapterin reductase	map00790(Folate biosynthesis); map01100(Metabolic pathways)	EC:1.1.1.153	M00842	http://rest.kegg.jp/get/K00072
K00073	allD; ureidoglycolate dehydrogenase (NAD+)	map00230(Purine metabolism); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.350		http://rest.kegg.jp/get/K00073
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	map00360(Phenylalanine metabolism); map00362(Benzoate degradation); map00650(Butanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.157		http://rest.kegg.jp/get/K00074
K00075	murB; UDP-N-acetylmuramate dehydrogenase	map00520(Amino sugar and nucleotide sugar metabolism); map00550(Peptidoglycan biosynthesis); map01100(Metabolic pathways)	EC:1.3.1.98		http://rest.kegg.jp/get/K00075
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase	map00121(Secondary bile acid biosynthesis)	EC:1.1.1.159		http://rest.kegg.jp/get/K00076
K00077	panE, apbA; 2-dehydropantoate 2-reductase	map00770(Pantothenate and CoA biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.169	M00119	http://rest.kegg.jp/get/K00077
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	map00040(Pentose and glucuronate interconversions); map00980(Metabolism of xenobiotics by cytochrome P450)	EC:1.3.1.20 EC:1.1.1.179		http://rest.kegg.jp/get/K00078
K00079	CBR1; carbonyl reductase 1	map00590(Arachidonic acid metabolism); map00790(Folate biosynthesis); map00980(Metabolism of xenobiotics by cytochrome P450); map01100(Metabolic pathways); map05204(Chemical carcinogenesis)	EC:1.1.1.184 EC:1.1.1.189 EC:1.1.1.197		http://rest.kegg.jp/get/K00079
K00081	CBR2; carbonyl reductase 2	map00590(Arachidonic acid metabolism); map00980(Metabolism of xenobiotics by cytochrome P450); map01100(Metabolic pathways)	EC:1.1.1.184		http://rest.kegg.jp/get/K00081
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase	map00740(Riboflavin metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.193	M00125	http://rest.kegg.jp/get/K00082
K00083	E1.1.1.195; cinnamyl-alcohol dehydrogenase	map00940(Phenylpropanoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.195	M00039	http://rest.kegg.jp/get/K00083
K00084	CBR3; carbonyl reductase 3	map00590(Arachidonic acid metabolism); map00980(Metabolism of xenobiotics by cytochrome P450); map01100(Metabolic pathways)	EC:1.1.1.184		http://rest.kegg.jp/get/K00084
K00085	E1.1.1.200; aldose-6-phosphate reductase (NADPH2)		EC:1.1.1.200		http://rest.kegg.jp/get/K00085
K00086	dhaT; 1,3-propanediol dehydrogenase	map00561(Glycerolipid metabolism); map00640(Propanoate metabolism)	EC:1.1.1.202		http://rest.kegg.jp/get/K00086
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit	map00230(Purine metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.17.1.4	M00546	http://rest.kegg.jp/get/K00087
K00088	IMPDH, guaB; IMP dehydrogenase	map00230(Purine metabolism); map00983(Drug metabolism - other enzymes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.205	M00050	http://rest.kegg.jp/get/K00088
K00089	AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase	map00140(Steroid hormone biosynthesis)	EC:1.1.1.213 EC:1.1.1.357		http://rest.kegg.jp/get/K00089
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase	map00030(Pentose phosphate pathway); map00260(Glycine, serine and threonine metabolism); map00620(Pyruvate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.79 EC:1.1.1.81 EC:1.1.1.215		http://rest.kegg.jp/get/K00090
K00091	E1.1.1.219; dihydroflavonol-4-reductase		EC:1.1.1.219		http://rest.kegg.jp/get/K00091
K00093	mdh; methanol dehydrogenase	map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.244		http://rest.kegg.jp/get/K00093
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase	map00052(Galactose metabolism); map01100(Metabolic pathways)	EC:1.1.1.251		http://rest.kegg.jp/get/K00094
K00095	MTD; mannitol dehydrogenase		EC:1.1.1.255		http://rest.kegg.jp/get/K00095
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]	map00564(Glycerophospholipid metabolism)	EC:1.1.1.261		http://rest.kegg.jp/get/K00096
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase	map00750(Vitamin B6 metabolism); map01100(Metabolic pathways)	EC:1.1.1.262	M00124	http://rest.kegg.jp/get/K00097
K00098	idnD; L-idonate 5-dehydrogenase		EC:1.1.1.264		http://rest.kegg.jp/get/K00098
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	map00900(Terpenoid backbone biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.1.1.267	M00096	http://rest.kegg.jp/get/K00099
K00100	bdhAB; butanol dehydrogenase	map00650(Butanoate metabolism); map01120(Microbial metabolism in diverse environments)	EC:1.1.1.-		http://rest.kegg.jp/get/K00100
K00101	lldD; L-lactate dehydrogenase (cytochrome)	map00620(Pyruvate metabolism); map01100(Metabolic pathways)	EC:1.1.2.3		http://rest.kegg.jp/get/K00101
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome)	map00620(Pyruvate metabolism)	EC:1.1.2.4		http://rest.kegg.jp/get/K00102
K00103	GULO; L-gulonolactone oxidase	map00053(Ascorbate and aldarate metabolism); map01100(Metabolic pathways)	EC:1.1.3.8	M00129	http://rest.kegg.jp/get/K00103
